Individual ID,Species,Region,Island,Date Egg,Body Mass (g),n_eggs
N21A1,Adelie,Anvers,Biscoe,11/6/08,3500.0,1
N21A2,Adelie,Anvers,Biscoe,11/6/08,4300.0,1
N22A1,Adelie,Anvers,Biscoe,11/9/08,3450.0,1
N22A2,Adelie,Anvers,Biscoe,11/9/08,4050.0,2
N23A1,Adelie,Anvers,Biscoe,11/9/08,2900.0,1
N23A2,Adelie,Anvers,Biscoe,11/9/08,3700.0,2
N24A1,Adelie,Anvers,Biscoe,11/15/08,3550.0,2
N24A2,Adelie,Anvers,Biscoe,11/15/08,3800.0,3
N25A1,Adelie,Anvers,Biscoe,11/15/08,2850.0,2
N25A2,Adelie,Anvers,Biscoe,11/15/08,3750.0,3
N27A1,Adelie,Anvers,Biscoe,11/13/08,3150.0,1
N27A2,Adelie,Anvers,Biscoe,11/13/08,4400.0,3
N28A1,Adelie,Anvers,Biscoe,11/13/08,3600.0,1
N28A2,Adelie,Anvers,Biscoe,11/13/08,4050.0,2
N29A1,Adelie,Anvers,Biscoe,11/13/08,2850.0,3
N29A2,Adelie,Anvers,Biscoe,11/13/08,3950.0,1
N30A1,Adelie,Anvers,Biscoe,11/6/08,3350.0,2
N30A2,Adelie,Anvers,Biscoe,11/6/08,4100.0,2
N32A1,Adelie,Anvers,Torgersen,11/11/08,3050.0,3
N32A2,Adelie,Anvers,Torgersen,11/11/08,4450.0,2
N34A1,Adelie,Anvers,Torgersen,11/14/08,3600.0,3
N34A2,Adelie,Anvers,Torgersen,11/14/08,3900.0,3
N35A1,Adelie,Anvers,Torgersen,11/11/08,3550.0,1
N35A2,Adelie,Anvers,Torgersen,11/11/08,4150.0,2
N36A1,Adelie,Anvers,Torgersen,11/8/08,3700.0,2
N36A2,Adelie,Anvers,Torgersen,11/8/08,4250.0,1
N37A1,Adelie,Anvers,Torgersen,11/6/08,3700.0,3
N37A2,Adelie,Anvers,Torgersen,11/6/08,3900.0,2
N38A1,Adelie,Anvers,Torgersen,11/9/08,3550.0,1
N38A2,Adelie,Anvers,Torgersen,11/9/08,4000.0,3
N39A1,Adelie,Anvers,Torgersen,11/2/08,3200.0,1
N39A2,Adelie,Anvers,Torgersen,11/2/08,4700.0,3
N40A1,Adelie,Anvers,Torgersen,11/7/08,3800.0,3
N40A2,Adelie,Anvers,Torgersen,11/7/08,4200.0,2
N41A1,Adelie,Anvers,Dream,11/17/08,3350.0,1
N41A2,Adelie,Anvers,Dream,11/17/08,3550.0,1
N42A1,Adelie,Anvers,Dream,11/8/08,3800.0,2
N42A2,Adelie,Anvers,Dream,11/8/08,3500.0,1
N44A1,Adelie,Anvers,Dream,11/8/08,3950.0,1
N44A2,Adelie,Anvers,Dream,11/8/08,3600.0,1
N45A1,Adelie,Anvers,Dream,11/14/08,3550.0,1
N45A2,Adelie,Anvers,Dream,11/14/08,4300.0,3
N46A1,Adelie,Anvers,Dream,11/5/08,3400.0,1
N46A2,Adelie,Anvers,Dream,11/5/08,4450.0,1
N48A1,Adelie,Anvers,Dream,11/17/08,3300.0,2
N48A2,Adelie,Anvers,Dream,11/17/08,4300.0,2
N49A1,Adelie,Anvers,Dream,11/8/08,3700.0,2
N49A2,Adelie,Anvers,Dream,11/8/08,4350.0,1
N50A1,Adelie,Anvers,Dream,11/10/08,2900.0,3
N50A2,Adelie,Anvers,Dream,11/10/08,4100.0,3
N61A1,Chinstrap,Anvers,Dream,11/25/08,3400.0,1
N61A2,Chinstrap,Anvers,Dream,11/25/08,3800.0,3
N62A1,Chinstrap,Anvers,Dream,11/14/08,3700.0,1
N62A2,Chinstrap,Anvers,Dream,11/14/08,4550.0,3
N63A1,Chinstrap,Anvers,Dream,11/24/08,3200.0,1
N63A2,Chinstrap,Anvers,Dream,11/24/08,4300.0,2
N65A1,Chinstrap,Anvers,Dream,11/24/08,3350.0,2
N65A2,Chinstrap,Anvers,Dream,11/24/08,4100.0,2
N67A1,Chinstrap,Anvers,Dream,11/25/08,3600.0,1
N67A2,Chinstrap,Anvers,Dream,11/25/08,3900.0,2
N69A1,Chinstrap,Anvers,Dream,11/14/08,3850.0,3
N69A2,Chinstrap,Anvers,Dream,11/14/08,4800.0,3
N72A1,Chinstrap,Anvers,Dream,11/24/08,2700.0,2
N72A2,Chinstrap,Anvers,Dream,11/24/08,4500.0,3
N74A1,Chinstrap,Anvers,Dream,11/24/08,3950.0,2
N74A2,Chinstrap,Anvers,Dream,11/24/08,3650.0,2
N75A1,Chinstrap,Anvers,Dream,11/14/08,3550.0,1
N75A2,Chinstrap,Anvers,Dream,11/14/08,3500.0,1
N2A1,Gentoo,Anvers,Biscoe,11/13/08,5150.0,3
N2A2,Gentoo,Anvers,Biscoe,11/13/08,5400.0,2
N4A1,Gentoo,Anvers,Biscoe,11/2/08,4950.0,1
N4A2,Gentoo,Anvers,Biscoe,11/2/08,5250.0,2
N5A1,Gentoo,Anvers,Biscoe,11/9/08,4350.0,3
N5A2,Gentoo,Anvers,Biscoe,11/9/08,5350.0,1
N6A1,Gentoo,Anvers,Biscoe,11/4/08,3950.0,3
N6A2,Gentoo,Anvers,Biscoe,11/4/08,5700.0,2
N7A1,Gentoo,Anvers,Biscoe,11/4/08,4300.0,1
N7A2,Gentoo,Anvers,Biscoe,11/4/08,4750.0,2
N8A1,Gentoo,Anvers,Biscoe,11/3/08,5550.0,3
N8A2,Gentoo,Anvers,Biscoe,11/3/08,4900.0,1
N11A1,Gentoo,Anvers,Biscoe,11/9/08,4200.0,3
N11A2,Gentoo,Anvers,Biscoe,11/9/08,5400.0,1
N12A1,Gentoo,Anvers,Biscoe,11/2/08,5100.0,3
N12A2,Gentoo,Anvers,Biscoe,11/2/08,5300.0,3
N13A1,Gentoo,Anvers,Biscoe,11/4/08,4850.0,3
N13A2,Gentoo,Anvers,Biscoe,11/4/08,5300.0,2
N14A1,Gentoo,Anvers,Biscoe,11/4/08,4400.0,3
N14A2,Gentoo,Anvers,Biscoe,11/4/08,5000.0,3
N15A1,Gentoo,Anvers,Biscoe,11/4/08,4900.0,2
N15A2,Gentoo,Anvers,Biscoe,11/4/08,5050.0,2
N16A1,Gentoo,Anvers,Biscoe,11/3/08,4300.0,1
N16A2,Gentoo,Anvers,Biscoe,11/3/08,5000.0,2
N17A1,Gentoo,Anvers,Biscoe,11/6/08,4450.0,3
N17A2,Gentoo,Anvers,Biscoe,11/6/08,5550.0,2
N18A1,Gentoo,Anvers,Biscoe,11/3/08,4200.0,2
N18A2,Gentoo,Anvers,Biscoe,11/3/08,5300.0,2
N19A1,Gentoo,Anvers,Biscoe,11/13/08,4400.0,2
N19A2,Gentoo,Anvers,Biscoe,11/13/08,5650.0,3
N20A1,Gentoo,Anvers,Biscoe,11/4/08,4700.0,3
N20A2,Gentoo,Anvers,Biscoe,11/4/08,5700.0,1
N51A1,Gentoo,Anvers,Biscoe,11/9/08,4650.0,2
N51A2,Gentoo,Anvers,Biscoe,11/9/08,5800.0,2
N53A1,Gentoo,Anvers,Biscoe,11/13/08,4700.0,3
N53A2,Gentoo,Anvers,Biscoe,11/13/08,5550.0,2
N54A1,Gentoo,Anvers,Biscoe,11/3/08,4750.0,1
N54A2,Gentoo,Anvers,Biscoe,11/3/08,5000.0,2
N55A1,Gentoo,Anvers,Biscoe,11/9/08,5100.0,2
N55A2,Gentoo,Anvers,Biscoe,11/9/08,5200.0,2
N56A1,Gentoo,Anvers,Biscoe,11/6/08,4700.0,1
N56A2,Gentoo,Anvers,Biscoe,11/6/08,5800.0,1
N58A1,Gentoo,Anvers,Biscoe,11/6/08,4600.0,3
N58A2,Gentoo,Anvers,Biscoe,11/6/08,6000.0,3
N60A1,Gentoo,Anvers,Biscoe,11/9/08,4750.0,1
N60A2,Gentoo,Anvers,Biscoe,11/9/08,5950.0,1
